project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m05,b4ea3dd03289a20d17f063686f944765b8a1539b31566e51b9bf9a79f2d90e06,SUCCESS,FAIL,True,True,True,20,20,4,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m05.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testFloats,True,True,PASS,,,,1,10
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m05,b4ea3dd03289a20d17f063686f944765b8a1539b31566e51b9bf9a79f2d90e06,SUCCESS,FAIL,True,True,True,20,20,4,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m05.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testInts,True,True,PASS,,,,1,11
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m05,b4ea3dd03289a20d17f063686f944765b8a1539b31566e51b9bf9a79f2d90e06,SUCCESS,FAIL,True,True,True,20,20,4,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m05.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testLong,True,True,PASS,,,,1,12
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m05,b4ea3dd03289a20d17f063686f944765b8a1539b31566e51b9bf9a79f2d90e06,SUCCESS,FAIL,True,True,True,20,20,4,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m05.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testTokens,True,True,PASS,,,,1,13
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m05,b4ea3dd03289a20d17f063686f944765b8a1539b31566e51b9bf9a79f2d90e06,SUCCESS,FAIL,True,True,True,20,20,4,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m05.log,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest::testStuffInArray,True,True,PASS,,,,1,14
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m05,b4ea3dd03289a20d17f063686f944765b8a1539b31566e51b9bf9a79f2d90e06,SUCCESS,FAIL,True,True,True,20,20,4,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m05.log,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest::testStuffInArray2,True,True,PASS,,,,1,15
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m05,b4ea3dd03289a20d17f063686f944765b8a1539b31566e51b9bf9a79f2d90e06,SUCCESS,FAIL,True,True,True,20,20,4,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m05.log,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest::testStuffInObject,True,True,PASS,,,,1,16
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m05,b4ea3dd03289a20d17f063686f944765b8a1539b31566e51b9bf9a79f2d90e06,SUCCESS,FAIL,True,True,True,20,20,4,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m05.log,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest::testLongAsciiStrings,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,17
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m05,b4ea3dd03289a20d17f063686f944765b8a1539b31566e51b9bf9a79f2d90e06,SUCCESS,FAIL,True,True,True,20,20,4,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m05.log,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest::testLongUnicodeStrings,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,18
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m05,b4ea3dd03289a20d17f063686f944765b8a1539b31566e51b9bf9a79f2d90e06,SUCCESS,FAIL,True,True,True,20,20,4,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m05.log,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest::testShortAsciiStrings,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,19
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m05,b4ea3dd03289a20d17f063686f944765b8a1539b31566e51b9bf9a79f2d90e06,SUCCESS,FAIL,True,True,True,20,20,4,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m05.log,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest::testShortUnicodeStrings,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,20
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncBinaryParseTest::testRawAsArray,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,1
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest::testYAMLCommentsEnabled,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncNonStdNumbersTest::testAllowInf,True,True,PASS,,,,2,3
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest::testLargeUnquotedNames,True,True,PASS,,,,2,4
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest::testMixedRootSequence,True,True,PASS,,,,2,5
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest::testTokenRootSequence,True,True,PASS,,,,2,6
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testBigDecimals,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,7
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testBigIntegers,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,8
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testDoubles,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,9
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testFloats,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,10
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testInts,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,11
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testLong,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,12
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testTokens,True,True,PASS,,,,2,13
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest::testStuffInArray,True,True,PASS,,,,2,14
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest::testStuffInArray2,True,True,PASS,,,,2,15
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest::testStuffInObject,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,16
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest::testLongAsciiStrings,True,True,PASS,,,,2,17
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest::testLongUnicodeStrings,True,True,PASS,,,,2,18
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest::testShortAsciiStrings,True,True,PASS,,,,2,19
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m06,3b37ffbd43b85909d929ea171dec0f4dc4c8e6197322f7de9b1cb5cd5419100f,SUCCESS,FAIL,True,True,True,20,20,9,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m06.log,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest::testShortUnicodeStrings,True,True,PASS,,,,2,20
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncBinaryParseTest::testRawAsArray,True,True,PASS,,,,1,1
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest::testYAMLCommentsEnabled,True,True,PASS,,,,1,2
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncNonStdNumbersTest::testAllowInf,True,True,PASS,,,,1,3
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest::testLargeUnquotedNames,True,True,PASS,,,,1,4
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest::testMixedRootSequence,True,True,PASS,,,,1,5
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest::testTokenRootSequence,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,6
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testBigDecimals,True,True,PASS,,,,1,7
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testBigIntegers,True,True,PASS,,,,1,8
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testDoubles,True,True,PASS,,,,1,9
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testFloats,True,True,PASS,,,,1,10
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testInts,True,True,PASS,,,,1,11
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testLong,True,True,PASS,,,,1,12
JacksonCore,JacksonCore_25,batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812,jacksoncore_25f__startValueAfterComma__line812_874,_startValueAfterComma,m07,bbfa093805fbd277617582fe84d45c47c0af1bad153e38577c37c980be88d1d9,SUCCESS,FAIL,True,True,True,20,20,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__JacksonCore_25__startValueAfterComma__jacksoncore_25f_startValueAfterComma_line812/execution/m07.log,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest::testTokens,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,13
